columna,media,desviacion_estandar,valores_nulos
potencia,11510.285270238415,1332.6731720692699,21078
torque,12175.798397044071,597.5812993092943,21078
velocidad,9.002294725327143,0.8332228339124269,21078
celda_carga,3431.109527355506,122.38699066491957,21078
pad_1,5610.609594710903,104.95691923364208,21078
pad_2,5870.259767670067,119.00008452095774,21078
pad_3,5672.977065779303,110.55158005455071,21078
pad_4,5852.673951417936,118.3456002548973,21078
pad_5,5978.271554110726,88.39017777285119,21078
pad_6,5310.207712717844,83.663291001419,21078
pad_7,5863.227626320492,107.86770163167495,21078
pad_8,5426.593576115737,73.83539228761302,21078
rendimiento,2666.083423241162,402.73247928476525,21078
flujo_agua,930.1709843533358,225.28352266703786,21078
carguio_bola,457.7977227500233,197.36652137935437,21078
carguio_bola_contador,390.5127183917813,242.03715455026907,21078
nivel_llenado_x,20.788574714559825,1.660449358957667,21078
ruido,14.966379793652317,7.410575401853641,21078
giro,0.4545180442183397,0.49792777718078013,21078
hrs_operacion,-49859518.45590324,323348222.1306285,21078
p80,215.31975952152538,26.519515776804752,21078
in14,99.96262815693618,0.7383996615874941,21078
in12,99.90003157077805,0.7832601727726304,21078
in10,99.68696629022743,0.9350642583618578,21078
in8,98.93079419313587,1.4959506908652398,21078
in6,96.18900566802259,3.0598442904624825,21078
in4,86.48562615515428,5.8836579611670485,21078
in3,75.21996487957537,7.067737770824385,21078
in2_5,66.90468809698322,7.201206843351125,21078
in2,56.383829457540976,6.7999566885272795,21078
in1_5,43.52068125990473,5.720950946524256,21078
in1,28.5777521212496,3.968985736535454,21078
f80,3.389209617096369,0.56378774603242,21078
dureza,23.756913524477426,12.685630234843302,21078
per_solidos,75.59229111659104,4.693804593683533,21078
wi,10.444963850293014,2.835222747024873,21078
spi,55.68305561700648,16.293900710613464,21078
axb,45.89221008979623,10.416928664033556,21078
ton_acum,924139.8069764825,479302.9880529025,21078
imp_criticos,27.4730775767078,44.798564420444215,21078
imp_estandares,566.3050166380685,421.2332556343605,21078
nivel_llenado_y,32.91711035038622,3.285917925618967,21078
nivel_sonido,104.79417285774589,1.9941621595072971,21078
jb,19.070623656345077,0.6982727145575502,21078
jc,32.177006400114166,3.1123595166858844,21078
diameter,11.03422192461994,0.008464881202089632,21078
length,5.4715241187162,0.009730383168231134,21078
volume,592.6547489405909,2.528331404974628,21078
critical_speed,70.6937529302485,6.5388809591027535,21078
linear_weight_loss,144.96104408841435,19.720984650231433,21078
gross_power,12053.413348039714,1320.896272487171,21078
charge_mass,703.7136964667333,44.6240684383291,21078
estimated_charge_mass,643.7198927521605,63.87619967043554,21078
estimated_jb,19.070624358395715,0.6982729392514084,21078
toe_angle,208.714454076577,3.3943273164028867,21078
shoulder_angle,29.53399229503133,4.580682319518726,21078
impact_angle,256.9009093979479,16.769479918347912,21078
departure_angle,36.01335768430594,6.731319835711098,21078
vel_ratio,0.0001909878122584465,0.04056102898330059,21078
toe_size,48.18645532137093,19.09419629474604,21078
pad_mean,5698.102606105376,73.98723908831032,21078
Outlier;;;,,,385904
